,age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method,total_spending,total_income,adjusted_spending,overspending,savings_rate,financial_stress
15,22,Non-binary,Sophomore,Computer Science,2508.8,3136.0,4175,884,328,167,175,111,96,73,154,109,Cash,6272,5644.8,5644.8,627.1999999999998,0.0,True
16,23,Female,Freshman,Psychology,3071.6000000000004,3839.5,5450,883,361,200,141,76,22,285,185,76,Cash,7679,6911.1,6911.1,767.8999999999996,0.0,True
17,21,Female,Freshman,Computer Science,2069.6,2587.0,3538,754,357,110,188,33,24,50,74,46,Mobile Payment App,5174,4656.6,4656.6,517.3999999999996,0.0,True
18,19,Female,Sophomore,Psychology,2512.4,3140.5,4401,883,292,69,51,75,60,105,181,164,Credit/Debit Card,6281,5652.9,5652.9,628.1000000000004,0.0,True
19,20,Female,Senior,Engineering,2053.2000000000003,2566.5,3131,886,196,131,216,57,39,264,39,174,Mobile Payment App,5133,4619.700000000001,4619.700000000001,513.2999999999993,0.0,True
20,19,Male,Junior,Psychology,2287.6,2859.5,4206,597,254,195,67,51,21,97,185,46,Credit/Debit Card,5719,5147.1,5147.1,571.8999999999996,0.0,True
21,24,Male,Sophomore,Computer Science,2741.6000000000004,3427.0,4878,814,286,180,282,55,25,77,73,184,Mobile Payment App,6854,6168.6,6168.6,685.3999999999996,0.0,True
22,18,Non-binary,Sophomore,Biology,2577.2000000000003,3221.5,4998,473,159,134,294,37,86,159,60,43,Cash,6443,5798.700000000001,5798.700000000001,644.2999999999993,0.0,True
23,24,Non-binary,Senior,Economics,2319.2000000000003,2899.0,4210,421,348,138,143,62,85,218,113,60,Credit/Debit Card,5798,5218.200000000001,5218.200000000001,579.7999999999993,0.0,True
24,19,Female,Senior,Economics,2499.6000000000004,3124.5,4500,731,238,103,76,111,95,238,74,83,Mobile Payment App,6249,5624.1,5624.1,624.8999999999996,0.0,True
25,25,Female,Junior,Biology,3059.6000000000004,3824.5,5486,789,400,81,211,95,74,237,140,136,Mobile Payment App,7649,6884.1,6884.1,764.8999999999996,0.0,True
26,20,Male,Senior,Economics,2168.0,2710.0,3541,762,173,185,288,53,38,84,159,137,Credit/Debit Card,5420,4878.0,4878.0,542.0,0.0,True
27,20,Female,Junior,Psychology,3018.0,3772.5,5616,664,291,179,260,127,21,113,194,80,Credit/Debit Card,7545,6790.5,6790.5,754.5,0.0,True
28,24,Non-binary,Sophomore,Psychology,2230.8,2788.5,4156,444,163,131,141,132,31,156,95,128,Credit/Debit Card,5577,5019.3,5019.3,557.6999999999998,0.0,True
29,23,Non-binary,Junior,Engineering,1994.0,2492.5,3099,742,394,179,95,64,62,73,104,173,Mobile Payment App,4985,4486.5,4486.5,498.5,0.0,True
30,23,Non-binary,Freshman,Economics,3046.4,3808.0,5943,677,296,110,137,146,21,155,105,26,Mobile Payment App,7616,6854.4,6854.4,761.6000000000004,0.0,True
31,23,Male,Sophomore,Psychology,2862.0,3577.5,5417,468,113,190,134,119,82,276,165,191,Mobile Payment App,7155,6439.5,6439.5,715.5,0.0,True
32,24,Non-binary,Junior,Computer Science,2837.2000000000003,3546.5,5236,860,169,133,147,123,48,138,89,150,Credit/Debit Card,7093,6383.700000000001,6383.700000000001,709.2999999999993,0.0,True
33,25,Female,Freshman,Economics,2979.2000000000003,3724.0,5615,468,325,158,244,98,46,231,183,80,Cash,7448,6703.200000000001,6703.200000000001,744.7999999999993,0.0,True
34,23,Male,Junior,Biology,1928.0,2410.0,3222,695,185,166,99,116,68,77,31,161,Mobile Payment App,4820,4338.0,4338.0,482.0,0.0,True
35,21,Male,Freshman,Biology,1972.0,2465.0,3090,718,254,93,204,74,30,228,60,179,Cash,4930,4437.0,4437.0,493.0,0.0,True
36,22,Male,Sophomore,Engineering,2399.6,2999.5,3931,462,372,147,282,149,92,269,105,190,Cash,5999,5399.1,5399.1,599.8999999999996,0.0,True
37,23,Non-binary,Senior,Computer Science,2762.4,3453.0,5160,600,178,148,186,88,78,242,54,172,Cash,6906,6215.4,6215.4,690.6000000000004,0.0,True
38,21,Female,Senior,Biology,2851.2000000000003,3564.0,5344,695,249,88,249,49,29,298,96,31,Cash,7128,6415.200000000001,6415.200000000001,712.7999999999993,0.0,True
39,20,Female,Senior,Engineering,2980.0,3725.0,5733,791,309,178,67,22,29,142,74,105,Mobile Payment App,7450,6705.0,6705.0,745.0,0.0,True
40,24,Female,Freshman,Engineering,2951.2000000000003,3689.0,5696,653,165,189,151,86,82,117,83,156,Mobile Payment App,7378,6640.200000000001,6640.200000000001,737.7999999999993,0.0,True
41,25,Male,Sophomore,Economics,2774.4,3468.0,5332,517,289,147,153,125,43,159,44,127,Cash,6936,6242.4,6242.4,693.6000000000004,0.0,True
42,23,Female,Sophomore,Economics,2562.4,3203.0,4639,755,137,55,249,103,50,176,67,175,Cash,6406,5765.4,5765.4,640.6000000000004,0.0,True
43,23,Male,Junior,Psychology,2328.8,2911.0,3958,511,391,192,264,57,85,108,115,141,Credit/Debit Card,5822,5239.8,5239.8,582.1999999999998,0.0,True
44,23,Female,Senior,Economics,2217.2000000000003,2771.5,3823,740,253,182,230,32,92,118,34,39,Credit/Debit Card,5543,4988.700000000001,4988.700000000001,554.2999999999993,0.0,True
45,18,Male,Freshman,Computer Science,2228.0,2785.0,3854,590,204,196,183,129,80,163,116,55,Credit/Debit Card,5570,5013.0,5013.0,557.0,0.0,True
46,25,Non-binary,Freshman,Psychology,2610.4,3263.0,4951,549,261,86,185,102,21,252,31,88,Cash,6526,5873.4,5873.4,652.6000000000004,0.0,True
47,19,Male,Senior,Psychology,2822.8,3528.5,5269,920,167,57,88,113,60,242,35,106,Mobile Payment App,7057,6351.3,6351.3,705.6999999999998,0.0,True
48,25,Male,Junior,Psychology,2367.2000000000003,2959.0,4141,918,122,86,105,62,88,90,169,137,Cash,5918,5326.200000000001,5326.200000000001,591.7999999999993,0.0,True
49,24,Female,Junior,Economics,2514.0,3142.5,4875,604,163,101,198,89,23,128,62,42,Mobile Payment App,6285,5656.5,5656.5,628.5,0.0,True
50,20,Female,Junior,Engineering,2954.4,3693.0,5414,786,355,137,187,45,90,145,200,27,Cash,7386,6647.4,6647.4,738.6000000000004,0.0,True
51,21,Non-binary,Freshman,Economics,2805.6000000000004,3507.0,5481,661,140,67,128,31,48,293,37,128,Credit/Debit Card,7014,6312.6,6312.6,701.3999999999996,0.0,True
52,19,Male,Senior,Computer Science,2213.2000000000003,2766.5,3823,837,193,115,75,121,65,150,96,58,Cash,5533,4979.700000000001,4979.700000000001,553.2999999999993,0.0,True
53,18,Male,Freshman,Psychology,2188.8,2736.0,4079,806,115,97,71,24,31,79,107,63,Mobile Payment App,5472,4924.8,4924.8,547.1999999999998,0.0,True
54,24,Non-binary,Senior,Engineering,2334.4,2918.0,3688,963,372,197,146,32,86,109,45,198,Mobile Payment App,5836,5252.4,5252.4,583.6000000000004,0.0,True
55,22,Female,Sophomore,Engineering,2598.4,3248.0,4244,926,339,142,237,145,93,121,91,158,Cash,6496,5846.4,5846.4,649.6000000000004,0.0,True
56,24,Non-binary,Freshman,Computer Science,2657.2000000000003,3321.5,4824,525,223,145,133,47,91,294,191,170,Cash,6643,5978.700000000001,5978.700000000001,664.2999999999993,0.0,True
57,20,Male,Sophomore,Economics,2098.0,2622.5,3017,960,216,193,299,40,61,263,55,141,Mobile Payment App,5245,4720.5,4720.5,524.5,0.0,True
58,25,Non-binary,Sophomore,Biology,2169.2000000000003,2711.5,3650,466,377,161,221,60,80,180,142,86,Mobile Payment App,5423,4880.700000000001,4880.700000000001,542.2999999999993,0.0,True
59,20,Female,Junior,Biology,2621.2000000000003,3276.5,4694,626,304,104,200,47,71,223,93,191,Mobile Payment App,6553,5897.700000000001,5897.700000000001,655.2999999999993,0.0,True
60,20,Male,Junior,Engineering,2689.2000000000003,3361.5,5389,416,132,193,149,67,27,261,46,43,Mobile Payment App,6723,6050.700000000001,6050.700000000001,672.2999999999993,0.0,True
61,23,Female,Junior,Engineering,2793.2000000000003,3491.5,5205,721,230,76,141,86,34,187,159,144,Mobile Payment App,6983,6284.700000000001,6284.700000000001,698.2999999999993,0.0,True
62,18,Female,Senior,Biology,3064.4,3830.5,5248,977,298,164,241,85,78,281,121,168,Cash,7661,6894.9,6894.9,766.1000000000004,0.0,True
63,20,Non-binary,Freshman,Economics,2666.8,3333.5,5194,464,370,58,77,135,34,124,40,171,Mobile Payment App,6667,6000.3,6000.3,666.6999999999998,0.0,True
64,19,Female,Junior,Computer Science,1882.4,2353.0,3403,477,144,82,190,109,84,81,56,80,Mobile Payment App,4706,4235.4,4235.4,470.60000000000036,0.0,True
65,19,Male,Freshman,Biology,3222.8,4028.5,5841,916,150,143,257,90,29,262,192,177,Mobile Payment App,8057,7251.3,7251.3,805.6999999999998,0.0,True
66,24,Male,Freshman,Economics,2239.6,2799.5,3830,883,260,79,139,135,64,54,81,74,Mobile Payment App,5599,5039.1,5039.1,559.8999999999996,0.0,True
67,21,Female,Junior,Engineering,2376.0,2970.0,4261,488,283,111,287,115,56,230,85,24,Credit/Debit Card,5940,5346.0,5346.0,594.0,0.0,True
68,23,Male,Senior,Engineering,2881.6000000000004,3602.0,5380,940,115,185,171,58,45,111,30,169,Mobile Payment App,7204,6483.6,6483.6,720.3999999999996,0.0,True
69,22,Male,Junior,Economics,2668.4,3335.5,4560,986,306,105,109,90,99,187,195,34,Mobile Payment App,6671,6003.9,6003.9,667.1000000000004,0.0,True
70,19,Male,Freshman,Economics,2496.0,3120.0,4643,451,234,169,240,105,21,238,101,38,Mobile Payment App,6240,5616.0,5616.0,624.0,0.0,True
71,21,Non-binary,Sophomore,Computer Science,2960.4,3700.5,5442,745,390,150,228,96,80,104,35,131,Cash,7401,6660.9,6660.9,740.1000000000004,0.0,True
72,23,Non-binary,Sophomore,Economics,2989.7999999999997,2989.7999999999997,3220,684,328,118,91,143,88,98,159,54,Cash,4983,5979.599999999999,4983.0,0.0,0.1666666666666666,False
73,22,Female,Freshman,Biology,2457.2000000000003,3071.5,4272,861,305,97,106,103,43,185,104,67,Mobile Payment App,6143,5528.700000000001,5528.700000000001,614.2999999999993,0.0,True
74,25,Female,Sophomore,Engineering,2301.2000000000003,2876.5,3986,873,180,186,236,23,61,88,87,33,Credit/Debit Card,5753,5177.700000000001,5177.700000000001,575.2999999999993,0.0,True
75,19,Female,Senior,Computer Science,2787.6000000000004,3484.5,5371,733,153,166,105,29,80,86,137,109,Cash,6969,6272.1,6272.1,696.8999999999996,0.0,True
76,22,Male,Sophomore,Computer Science,2978.0,3722.5,5650,648,159,128,259,124,97,96,150,134,Cash,7445,6700.5,6700.5,744.5,0.0,True
77,24,Female,Sophomore,Computer Science,2490.0,3112.5,4881,564,149,55,61,129,79,180,94,33,Credit/Debit Card,6225,5602.5,5602.5,622.5,0.0,True
78,22,Non-binary,Senior,Economics,2925.2000000000003,3656.5,5428,868,175,129,148,114,74,196,104,77,Cash,7313,6581.700000000001,6581.700000000001,731.2999999999993,0.0,True
79,23,Non-binary,Junior,Economics,2837.6000000000004,3547.0,5212,631,331,125,199,115,48,130,107,196,Cash,7094,6384.6,6384.6,709.3999999999996,0.0,True
80,18,Female,Freshman,Biology,2503.6000000000004,3129.5,4636,518,299,74,55,104,87,122,171,193,Mobile Payment App,6259,5633.1,5633.1,625.8999999999996,0.0,True
81,19,Female,Junior,Biology,2755.2000000000003,3444.0,5104,623,385,94,193,29,57,259,113,31,Mobile Payment App,6888,6199.200000000001,6199.200000000001,688.7999999999993,0.0,True
82,24,Non-binary,Senior,Biology,3032.0,3790.0,5501,841,235,164,109,144,100,252,198,36,Cash,7580,6822.0,6822.0,758.0,0.0,True
83,19,Male,Freshman,Computer Science,2434.8,3043.5,4529,678,186,178,75,34,95,97,140,75,Mobile Payment App,6087,5478.3,5478.3,608.6999999999998,0.0,True
84,22,Female,Freshman,Biology,1884.0,2355.0,3050,490,349,54,174,80,51,278,143,41,Mobile Payment App,4710,4239.0,4239.0,471.0,0.0,True
85,25,Non-binary,Senior,Computer Science,3083.2000000000003,3854.0,5683,718,376,152,156,94,81,220,145,83,Credit/Debit Card,7708,6937.200000000001,6937.200000000001,770.7999999999993,0.0,True
86,25,Non-binary,Sophomore,Computer Science,2316.8,2896.0,3901,618,315,177,180,41,63,247,112,138,Credit/Debit Card,5792,5212.8,5212.8,579.1999999999998,0.0,True
87,25,Female,Junior,Computer Science,2427.2000000000003,3034.0,4051,840,269,119,121,132,40,173,198,125,Credit/Debit Card,6068,5461.200000000001,5461.200000000001,606.7999999999993,0.0,True
88,20,Female,Junior,Economics,2636.8,3296.0,4707,431,234,184,264,54,84,295,162,177,Mobile Payment App,6592,5932.8,5932.8,659.1999999999998,0.0,True
89,23,Male,Sophomore,Economics,2683.2000000000003,3354.0,5304,421,144,97,51,103,66,247,183,92,Credit/Debit Card,6708,6037.200000000001,6037.200000000001,670.7999999999993,0.0,True
90,18,Non-binary,Junior,Psychology,3124.0,3905.0,5959,778,260,82,238,74,82,149,126,62,Credit/Debit Card,7810,7029.0,7029.0,781.0,0.0,True
91,19,Male,Senior,Economics,2088.0,2610.0,3526,411,357,109,268,107,94,65,138,145,Cash,5220,4698.0,4698.0,522.0,0.0,True
92,23,Non-binary,Sophomore,Economics,2578.4,3223.0,4423,791,397,144,64,59,79,187,189,113,Mobile Payment App,6446,5801.4,5801.4,644.6000000000004,0.0,True
93,18,Male,Sophomore,Economics,3629.4,3629.4,4236,862,127,180,63,91,90,191,87,122,Mobile Payment App,6049,7258.8,6049.0,0.0,0.16666666666666669,False
94,18,Female,Senior,Computer Science,2655.6000000000004,3319.5,4822,809,237,174,85,21,72,130,185,104,Credit/Debit Card,6639,5975.1,5975.1,663.8999999999996,0.0,True
95,18,Female,Junior,Engineering,2014.0,2517.5,3367,760,182,57,95,119,21,166,149,119,Credit/Debit Card,5035,4531.5,4531.5,503.5,0.0,True
96,20,Male,Freshman,Economics,2726.4,3408.0,5126,551,258,130,81,102,84,234,172,78,Credit/Debit Card,6816,6134.4,6134.4,681.6000000000004,0.0,True
97,18,Non-binary,Sophomore,Biology,2894.4,3618.0,5096,780,331,200,115,89,27,265,175,158,Credit/Debit Card,7236,6512.4,6512.4,723.6000000000004,0.0,True
98,24,Female,Senior,Biology,2584.4,3230.5,4706,787,166,136,106,112,63,270,86,29,Cash,6461,5814.9,5814.9,646.1000000000004,0.0,True
99,23,Male,Junior,Psychology,2129.6,2662.0,3471,931,293,54,146,142,58,84,104,41,Mobile Payment App,5324,4791.6,4791.6,532.3999999999996,0.0,True
100,22,Male,Sophomore,Psychology,2196.4,2745.5,3300,971,295,51,219,91,94,259,161,50,Cash,5491,4941.9,4941.9,549.1000000000004,0.0,True
101,23,Female,Senior,Psychology,2826.0,3532.5,5317,818,341,136,116,115,22,56,38,106,Mobile Payment App,7065,6358.5,6358.5,706.5,0.0,True
102,20,Female,Sophomore,Psychology,2084.0,2605.0,3366,636,295,143,77,120,96,137,162,178,Cash,5210,4689.0,4689.0,521.0,0.0,True
103,25,Male,Junior,Psychology,3083.2000000000003,3854.0,5931,759,216,99,251,20,38,192,105,97,Cash,7708,6937.200000000001,6937.200000000001,770.7999999999993,0.0,True
104,21,Female,Junior,Psychology,2890.0,3612.5,5570,555,305,103,81,112,28,112,162,197,Mobile Payment App,7225,6502.5,6502.5,722.5,0.0,True
105,21,Female,Senior,Computer Science,1980.0,2475.0,3200,464,360,153,220,26,88,144,161,134,Cash,4950,4455.0,4455.0,495.0,0.0,True
106,25,Female,Senior,Psychology,2568.4,3210.5,4789,447,353,164,201,60,43,99,93,172,Mobile Payment App,6421,5778.9,5778.9,642.1000000000004,0.0,True
107,21,Male,Junior,Biology,2790.8,3488.5,4884,742,112,173,276,136,63,294,161,136,Mobile Payment App,6977,6279.3,6279.3,697.6999999999998,0.0,True
108,20,Male,Sophomore,Computer Science,2458.0,3072.5,4992,433,175,56,71,89,74,66,59,130,Mobile Payment App,6145,5530.5,5530.5,614.5,0.0,True
109,24,Male,Senior,Psychology,2764.0,3455.0,4906,863,116,110,140,116,56,264,179,160,Credit/Debit Card,6910,6219.0,6219.0,691.0,0.0,True
110,22,Male,Sophomore,Economics,3054.4,3818.0,5894,680,344,156,114,120,79,53,40,156,Mobile Payment App,7636,6872.4,6872.4,763.6000000000004,0.0,True
111,23,Non-binary,Senior,Economics,2965.6000000000004,3707.0,5866,661,205,129,88,72,28,192,72,101,Credit/Debit Card,7414,6672.6,6672.6,741.3999999999996,0.0,True
112,19,Female,Senior,Psychology,2926.4,3658.0,5429,831,268,84,63,26,92,278,185,60,Credit/Debit Card,7316,6584.4,6584.4,731.6000000000004,0.0,True
113,21,Female,Freshman,Computer Science,2924.0,3655.0,4977,906,385,106,277,148,41,205,149,116,Cash,7310,6579.0,6579.0,731.0,0.0,True
114,21,Male,Junior,Engineering,2747.6000000000004,3434.5,5309,661,284,95,153,93,21,108,81,64,Mobile Payment App,6869,6182.1,6182.1,686.8999999999996,0.0,True
115,22,Male,Freshman,Biology,2313.6,2892.0,3618,902,343,194,182,74,62,171,126,112,Mobile Payment App,5784,5205.6,5205.6,578.3999999999996,0.0,True
116,22,Female,Sophomore,Engineering,2593.6000000000004,3242.0,4753,629,335,168,97,113,60,223,44,62,Cash,6484,5835.6,5835.6,648.3999999999996,0.0,True
117,18,Non-binary,Senior,Engineering,2047.6000000000001,2559.5,3108,859,386,147,208,27,60,265,36,23,Credit/Debit Card,5119,4607.1,4607.1,511.89999999999964,0.0,True
118,21,Female,Senior,Engineering,2526.0,3157.5,4579,760,122,122,63,34,48,250,153,184,Credit/Debit Card,6315,5683.5,5683.5,631.5,0.0,True
119,24,Female,Freshman,Psychology,2860.0,3575.0,5634,444,290,170,63,25,37,275,111,101,Mobile Payment App,7150,6435.0,6435.0,715.0,0.0,True
120,23,Female,Freshman,Psychology,2804.8,3506.0,5275,640,236,153,257,62,87,188,55,59,Mobile Payment App,7012,6310.8,6310.8,701.1999999999998,0.0,True
121,24,Non-binary,Freshman,Biology,2011.2,2514.0,3167,765,202,146,183,145,23,233,120,44,Mobile Payment App,5028,4525.2,4525.2,502.8000000000002,0.0,True
122,25,Non-binary,Junior,Computer Science,2801.6000000000004,3502.0,5067,613,278,179,187,149,38,227,162,104,Cash,7004,6303.6,6303.6,700.3999999999996,0.0,True
123,22,Non-binary,Senior,Economics,2550.4,3188.0,4532,801,253,167,243,73,33,110,66,98,Credit/Debit Card,6376,5738.4,5738.4,637.6000000000004,0.0,True
124,23,Male,Senior,Biology,2139.6,2674.5,3230,787,377,176,158,117,78,299,84,43,Mobile Payment App,5349,4814.1,4814.1,534.8999999999996,0.0,True
125,20,Female,Freshman,Engineering,2117.2000000000003,2646.5,3691,515,224,120,125,71,46,140,184,177,Credit/Debit Card,5293,4763.700000000001,4763.700000000001,529.2999999999993,0.0,True
126,20,Male,Sophomore,Biology,2400.8,3001.0,4311,584,301,160,193,91,46,143,120,53,Cash,6002,5401.8,5401.8,600.1999999999998,0.0,True
127,22,Male,Junior,Engineering,2478.0,3097.5,4012,897,400,53,120,117,88,284,119,105,Credit/Debit Card,6195,5575.5,5575.5,619.5,0.0,True
128,20,Non-binary,Senior,Engineering,2037.2,2546.5,3413,554,182,138,275,72,35,160,74,190,Credit/Debit Card,5093,4583.7,4583.7,509.3000000000002,0.0,True
129,22,Non-binary,Sophomore,Computer Science,4237.2,4237.2,5420,516,297,96,103,129,78,251,109,63,Credit/Debit Card,7062,8474.4,7062.0,0.0,0.16666666666666663,False
130,22,Non-binary,Senior,Biology,2640.4,3300.5,4389,907,317,144,126,149,89,243,156,81,Credit/Debit Card,6601,5940.9,5940.9,660.1000000000004,0.0,True
131,25,Male,Senior,Engineering,2176.0,2720.0,3854,738,177,195,110,92,77,117,30,50,Credit/Debit Card,5440,4896.0,4896.0,544.0,0.0,True
132,25,Female,Junior,Psychology,2604.8,3256.0,4885,481,367,130,272,56,57,150,92,22,Mobile Payment App,6512,5860.8,5860.8,651.1999999999998,0.0,True
133,22,Female,Freshman,Engineering,2031.6000000000001,2539.5,3377,733,201,94,284,123,34,59,77,97,Mobile Payment App,5079,4571.1,4571.1,507.89999999999964,0.0,True
134,24,Male,Junior,Economics,2284.0,2855.0,4129,600,135,75,227,25,22,200,164,133,Mobile Payment App,5710,5139.0,5139.0,571.0,0.0,True
135,24,Female,Senior,Psychology,2827.2000000000003,3534.0,5579,424,133,149,139,29,58,275,173,109,Mobile Payment App,7068,6361.200000000001,6361.200000000001,706.7999999999993,0.0,True
136,23,Male,Junior,Computer Science,3142.8,3928.5,5944,768,246,196,165,52,68,198,180,40,Mobile Payment App,7857,7071.3,7071.3,785.6999999999998,0.0,True
137,24,Female,Sophomore,Psychology,2846.4,3558.0,5305,498,357,170,183,92,84,138,92,197,Cash,7116,6404.4,6404.4,711.6000000000004,0.0,True
138,18,Female,Sophomore,Economics,2584.0,3230.0,4834,593,201,197,78,92,44,178,198,45,Credit/Debit Card,6460,5814.0,5814.0,646.0,0.0,True
139,21,Male,Sophomore,Psychology,2362.8,2953.5,4279,747,159,183,197,67,21,88,58,108,Cash,5907,5316.3,5316.3,590.6999999999998,0.0,True
140,22,Male,Junior,Computer Science,1886.0,2357.5,3172,818,158,68,95,76,63,122,47,96,Mobile Payment App,4715,4243.5,4243.5,471.5,0.0,True
141,23,Male,Sophomore,Computer Science,2983.2000000000003,3729.0,5696,899,117,51,278,22,22,153,70,150,Cash,7458,6712.200000000001,6712.200000000001,745.7999999999993,0.0,True
142,25,Male,Junior,Psychology,3179.2000000000003,3974.0,5960,676,375,149,133,76,33,212,165,169,Mobile Payment App,7948,7153.200000000001,7153.200000000001,794.7999999999993,0.0,True
143,24,Male,Senior,Computer Science,2850.4,3563.0,5692,644,111,80,235,76,42,108,65,73,Cash,7126,6413.4,6413.4,712.6000000000004,0.0,True
144,23,Female,Senior,Engineering,1890.8000000000002,2363.5,3057,614,235,115,117,71,72,226,94,126,Cash,4727,4254.3,4254.3,472.6999999999998,0.0,True
145,18,Male,Senior,Biology,2198.4,2748.0,3341,969,348,75,126,49,93,201,116,178,Cash,5496,4946.4,4946.4,549.6000000000004,0.0,True
146,23,Male,Senior,Biology,2405.2000000000003,3006.5,4768,465,221,96,52,39,73,94,141,64,Credit/Debit Card,6013,5411.700000000001,5411.700000000001,601.2999999999993,0.0,True
147,21,Male,Freshman,Engineering,3116.4,3116.4,3046,931,224,161,200,24,80,213,135,180,Credit/Debit Card,5194,6232.8,5194.0,0.0,0.16666666666666669,False
148,24,Male,Sophomore,Computer Science,2683.6000000000004,3354.5,4655,799,358,125,290,80,23,156,177,46,Credit/Debit Card,6709,6038.1,6038.1,670.8999999999996,0.0,True
149,21,Non-binary,Freshman,Psychology,3324.0,3324.0,3709,581,102,188,225,98,72,273,126,166,Mobile Payment App,5540,6648.0,5540.0,0.0,0.16666666666666666,False
150,23,Non-binary,Senior,Biology,3122.0,3902.5,5577,916,260,78,213,145,71,223,123,199,Credit/Debit Card,7805,7024.5,7024.5,780.5,0.0,True
151,21,Male,Freshman,Computer Science,2694.4,3368.0,4943,807,149,61,214,136,26,191,102,107,Cash,6736,6062.4,6062.4,673.6000000000004,0.0,True
152,21,Female,Senior,Engineering,2189.6,2737.0,3360,931,329,188,95,120,92,102,59,198,Credit/Debit Card,5474,4926.6,4926.6,547.3999999999996,0.0,True
153,19,Non-binary,Junior,Economics,1890.8000000000002,2363.5,3194,468,328,177,118,26,69,66,161,120,Mobile Payment App,4727,4254.3,4254.3,472.6999999999998,0.0,True
154,19,Female,Freshman,Psychology,2316.0,2895.0,4160,677,159,73,229,140,38,108,175,31,Cash,5790,5211.0,5211.0,579.0,0.0,True
155,22,Female,Freshman,Economics,2560.8,3201.0,5010,434,128,184,277,98,29,115,61,66,Credit/Debit Card,6402,5761.8,5761.8,640.1999999999998,0.0,True
156,19,Female,Sophomore,Biology,2898.4,3623.0,5309,944,232,166,153,58,64,67,167,86,Credit/Debit Card,7246,6521.4,6521.4,724.6000000000004,0.0,True
157,20,Male,Sophomore,Economics,2114.4,2643.0,3388,737,295,84,297,66,80,146,100,93,Mobile Payment App,5286,4757.4,4757.4,528.6000000000004,0.0,True
158,18,Male,Junior,Engineering,2930.0,3662.5,5547,676,255,82,111,128,35,252,160,79,Credit/Debit Card,7325,6592.5,6592.5,732.5,0.0,True
159,25,Female,Senior,Psychology,2415.6,3019.5,4087,998,251,175,80,82,82,76,152,56,Mobile Payment App,6039,5435.1,5435.1,603.8999999999996,0.0,True
160,23,Female,Junior,Economics,2196.0,2745.0,3748,459,291,56,199,100,81,290,135,131,Credit/Debit Card,5490,4941.0,4941.0,549.0,0.0,True
161,25,Non-binary,Senior,Computer Science,2836.0,3545.0,5568,815,159,79,66,113,68,91,94,37,Cash,7090,6381.0,6381.0,709.0,0.0,True
